Feature,Importance
numMetaArg_delta,0.005865102639296168
nloc,0.00469208211143692
isData,0.013489736070381208
additions_contains_value_output_change,-0.0005865102639296226
numObjects_delta,0.0017595307917888461
numLoops_delta,0.0005865102639296154
numTemplateExpression,0.046041055718475075
numTemplateExpression_delta,0.04985337243401758
numLookUpFunctionCall,0.008211143695014616
numImplicitDependentData,0.0055718475073313605
numObjects,0.01583577712609969
nloc_delta,0.01612903225806449
numImplicitDependentLocals_delta,0.022287390029325494
numLinesHereDocs_delta,0.0
numDebuggingFunctions,0.0
numEmptyString,0.004398826979472122
numNestedBlocks_delta,0.008504398826979427
textEntropyMeasure,0.0002932551319647826
numImplicitDependentResources_delta,0.0002932551319648077
numIndexAccess_delta,0.0002932551319648077
num_same_instances_changed_before,0.07038123167155423
additions_normalized,0.03519061583577711
numSplatExpressions,0.0
numImplicitDependentModules,0.0
numMetaArg,0.0049853372434017305
numImplicitDependentData_delta,0.00439882697947213
isModule,0.0
additions_diffusion,0.07683284457478003
numEmptyString_delta,0.004398826979472119
numLinesHereDocs,0.0
damerau_levenshtein_code_change_distance,0.024046920821114353
isLocals,0.004985337243401742
kexp,0.009090909090909063
numLogiOpers_delta,0.0038123167155425038
deletions_contains_default_change,0.0
numTuples_delta,0.0008797653958944195
additions_contains_versioning_change,0.0
numMathOperations_delta,0.0
deletions_contains_type_change,-3.581364595565021e-18
numMathOperations,0.0002932551319648077
additions_contains_type_change,-0.0023460410557184903
numSplatExpressions_delta,0.0
deletions_contains_value_output_change,0.0
numDeprecatedFunctions_delta,0.023167155425219913
num_unique_change,0.0017595307917888355
additions,-0.00029325513196482917
exp,0.0255131964809384
numComparisonOperators_delta,0.0011730205278592308
numDynamicBlocks_delta,0.0
numWildCardSuffixString_delta,0.0
numImplicitDependentResources,0.0017595307917888355
numExplicitResourceDependency_delta,0.0
numLogiOpers,0.016422287390029308
additions_contains_default_change,0.002052785923753661
code_ownership,0.002346041055718451
